#Energy      Sr   Ti   O  Total
      14000.0000          4.02697283E+02          5.76166267E+02          5.61084162E+02          1.66635316E+02
      15000.0000          4.23889839E+02          6.11263968E+02          5.98743566E+02          1.76515589E+02
      16000.0000          4.44790183E+02          6.46041790E+02          6.36169550E+02          1.86287506E+02
      16107.9990          4.47030722E+02          6.49779234E+02          6.40197709E+02          1.87336628E+02
      16108.0010          4.47030763E+02          6.49779303E+02          6.40197784E+02          1.87336647E+02
      17000.0000          4.65416884E+02          6.80513851E+02          6.73365769E+02          1.95956779E+02
      18000.0000          4.85786023E+02          7.14692439E+02          7.10335568E+02          2.05528380E+02
      19000.0000          5.05911647E+02          7.48588357E+02          7.47082035E+02          2.15006672E+02
      20000.0000          5.25806123E+02          7.82211187E+02          7.83608050E+02          2.24395518E+02
      21000.0000          5.45480420E+02          8.15569496E+02          8.19916313E+02          2.33698364E+02
      22000.0000          5.64944328E+02          8.48670996E+02          8.56009378E+02          2.42918304E+02
      23000.0000          5.84206637E+02          8.81522680E+02          8.91889667E+02          2.52058131E+02
      24000.0000          6.03275283E+02          9.14130924E+02          9.27559490E+02          2.61120384E+02
      25000.0000          6.22157466E+02          9.46501573E+02          9.63021063E+02          2.70107381E+02
      26000.0000          6.40859747E+02          9.78640015E+02          9.98276514E+02          2.79021245E+02
      27000.0000          6.59388135E+02          1.01055124E+03          1.03332789E+03          2.87863936E+02
      28000.0000          6.77748150E+02          1.04223987E+03          1.06817719E+03          2.96637264E+02
      29000.0000          6.95944885E+02          1.07371025E+03          1.10282632E+03          3.05342910E+02
      30000.0000          7.13983054E+02          1.10496643E+03          1.13727716E+03          3.13982441E+02
      31000.0000          7.31867034E+02          1.13601221E+03          1.17153152E+03          3.22557320E+02
      32000.0000          7.49600901E+02          1.16685119E+03          1.20559118E+03          3.31068920E+02
      33000.0000          7.67188462E+02          1.19748676E+03          1.23945786E+03          3.39518530E+02
      34000.0000          7.84633285E+02          1.22792215E+03          1.27313326E+03          3.47907366E+02
      35000.0000          8.01938717E+02          1.25816043E+03          1.30661903E+03          3.56236578E+02
      36000.0000          8.19107907E+02          1.28820450E+03          1.33991679E+03          3.64507253E+02
      37000.0000          8.36143828E+02          1.31805715E+03          1.37302813E+03          3.72720423E+02
      38000.0000          8.53049288E+02          1.34772105E+03          1.40595460E+03          3.80877071E+02
      39000.0000          8.69826947E+02          1.37719875E+03          1.43869775E+03          3.88978133E+02
      40000.0000          8.86479327E+02          1.40649271E+03          1.47125908E+03          3.97024503E+02
      41000.0000          9.03008827E+02          1.43560529E+03          1.50364006E+03          4.05017034E+02
      42000.0000          9.19417730E+02          1.46453877E+03          1.53584216E+03          4.12956545E+02
      43000.0000          9.35708214E+02          1.49329533E+03          1.56786680E+03          4.20843821E+02
      44000.0000          9.51882359E+02          1.52187710E+03          1.59971540E+03          4.28679616E+02
      45000.0000          9.67942154E+02          1.55028614E+03          1.63138935E+03          4.36464657E+02
      46000.0000          9.83889505E+02          1.57852442E+03          1.66289003E+03          4.44199641E+02
      47000.0000          9.99726237E+02          1.60659388E+03          1.69421878E+03          4.51885244E+02
      48000.0000          1.01545411E+03          1.63449639E+03          1.72537694E+03          4.59522115E+02
      49000.0000          1.03107480E+03          1.66223377E+03          1.75636583E+03          4.67110885E+02
      50000.0000          1.04658994E+03          1.68980778E+03          1.78718675E+03          4.74652161E+02
